Feature,Importance
reviewCount,683.0
minPrice,657.0
rank,555.0
customerReviewScore,535.0
destinationFreq,507.0
discountPercent,502.0
brandId,492.0
stayLength,424.0
minStrikePrice,418.0
starLevel,211.0
leadTime,147.0
deviceCode_IPHONENEG,97.0
deviceCode_MOBILEWEB,83.0
checkInDayOfWeek,68.0
signedInFlag,63.0
deviceCode_DESKTOP,62.0
vipTier_PLATINUM,45.0
vipTier_GOLD,44.0
freeBreakfastFlag,43.0
freeInternetFlag,43.0
vipTier_BLUE,29.0
numRooms,23.0
vipTier_MEMBER,23.0
weekendStay,22.0
deviceCode_ANDROIDTABLET,8.0
deviceCode_IPADNEG,5.0
